68,2
60,4
39,5
11,12
29,0
6,21
51,8
31,3
78,25
6,1
74,0
78,1
27,4
20,3
3,3
13,6
78,4
13,3
50,25
27,8
19,3
9,24
63,4
31,0
39,3
33,8
0,25
69,3
18,8
24,8
77,3
12,3
24,2
112,3
39,8
33,24
60,1
54,8
41,25
60,24
13,8
15,0
0,24
0,0
76,3
27,0
69,4
9,0
31,4
69,8
67,1
33,25
27,25
9,22
73,0
66,0
23,0
54,25
32,3
54,24
22,0
6,24
28,3
78,5
18,22
63,3
18,3
11,8
47,4
32,0
46,25
188,2
24,25
39,4
5,1
24,1
23,3
74,8
13,12
75,12
72,25
60,8
12,0
6,23
54,23
15,8
18,25
58,2
55,1
0,22
60,21
21,0
0,21
57,3
9,8
14,8
72,24
30,0
77,0
54,21
63,8
28,0
18,0
11,3
9,21
30,3
76,0
45,0
60,22
0,4
18,23
22,3
66,4
42,0
9,23
50,1
40,2
49,2
59,1
12,8
75,0
0,8
65,25
37,25
6,8
29,3
63,5
0,3
77,8
54,3
2,2
22,4
33,12
74,3
24,24
76,8
45,8
36,0
21,3
23,5
4,2
54,22
11,0
27,23
18,21
19,0
6,25
14,0
5,25
47,2
6,0
6,12
10,3
27,22
46,5
27,24
9,25
60,0
68,4
51,0
50,5
64,4
75,3
0,23
13,0
73,8
64,2
32,5
67,4
6,22
59,25
72,1
49,4
10,8
69,5
20,0
60,23
1,25
1,1
54,0
65,4
18,24
686,2
27,21
10,0
72,5
73,3

fold along y=26
fold along y=13
fold along y=9
fold along x=371
fold along y=7
fold along x=189
fold along x=113
fold along x=80
